date,MKT(3F),SMB(3F),HML(3F),MKT(5F),SMB(5F),HML(5F),RMW(5F),CMA(5F)
1926-07,2.96,-2.56,-2.43,,,,,
1926-08,2.64,-1.17,3.82,,,,,
1926-09,0.36,-1.4,0.13,,,,,
1926-10,-3.24,-0.09,0.7,,,,,
1926-11,2.53,-0.1,-0.51,,,,,
1926-12,2.62,-0.03,-0.05,,,,,
1927-01,-0.06,-0.37,4.54,,,,,
1927-02,4.18,0.04,2.94,,,,,
1927-03,0.13,-1.65,-2.61,,,,,
1927-04,0.46,0.3,0.81,,,,,
1927-05,5.44,1.53,4.73,,,,,
1927-06,-2.34,0.59,-1.73,,,,,
1927-07,7.26,-3.25,-1.14,,,,,
1927-08,1.97,-0.69,-3.74,,,,,
1927-09,4.76,-3.63,-0.63,,,,,
1927-10,-4.31,2.12,-4.33,,,,,
1927-11,6.58,2.72,-0.27,,,,,
1927-12,2.09,0.97,-1.13,,,,,
1928-01,-0.68,4.26,-0.75,,,,,
1928-02,-1.7,-2.06,-0.65,,,,,
1928-03,8.81,-0.26,-1.22,,,,,
1928-04,4.23,3.98,3.44,,,,,
1928-05,1.52,2.85,-3.27,,,,,
1928-06,-4.85,-3.52,-0.03,,,,,
1928-07,0.62,-1.32,-0.5,,,,,
1928-08,6.68,-2.06,-2.15,,,,,
1928-09,2.88,2.41,0.86,,,,,
1928-10,1.33,2.22,-2.16,,,,,
1928-11,11.81,-1.78,2.7,,,,,
1928-12,0.36,-0.86,-0.65,,,,,
1929-01,4.66,-3.56,-1.24,,,,,
1929-02,-0.34,-0.38,1.66,,,,,
1929-03,-0.89,-4.71,1.58,,,,,
1929-04,1.43,-0.97,0.59,,,,,
1929-05,-6.39,-5.37,-1.42,,,,,
1929-06,9.7,-2.17,-2.79,,,,,
1929-07,4.46,-3.88,2.71,,,,,
1929-08,8.18,-9.59,0.13,,,,,
1929-09,-5.47,1.19,-0.65,,,,,
1929-10,-20.12,-4.01,7.78,,,,,
1929-11,-12.74,-1.72,5.05,,,,,
1929-12,1.33,-4.5,-0.54,,,,,
1930-01,5.61,3.55,-0.96,,,,,
1930-02,2.5,0.19,0.2,,,,,
1930-03,7.1,3.41,0.33,,,,,
1930-04,-2.06,-0.35,-0.35,,,,,
1930-05,-1.66,-2.01,-0.73,,,,,
1930-06,-16.27,-3.38,2.33,,,,,
1930-07,4.12,-0.28,-1.75,,,,,
1930-08,0.3,-2.1,-0.61,,,,,
1930-09,-12.75,-2.21,-4.96,,,,,
1930-10,-8.78,-0.12,-1.38,,,,,
1930-11,-3.04,2.23,-3.66,,,,,
1930-12,-7.83,-4.6,-5.25,,,,,
1931-01,6.24,3.45,7.12,,,,,
1931-02,10.88,3.59,1.92,,,,,
1931-03,-6.43,2.98,-3.44,,,,,
1931-04,-9.98,-4.45,-3.82,,,,,
1931-05,-13.24,5.35,-6.57,,,,,
1931-06,13.9,-5.32,11.29,,,,,
1931-07,-6.62,1.42,-2.11,,,,,
1931-08,0.41,-1.95,-1.47,,,,,
1931-09,-29.13,0.54,-6.77,,,,,
1931-10,8.04,-1.87,1.7,,,,,
1931-11,-9.08,4.31,-5.04,,,,,
1931-12,-13.53,-0.55,-8.85,,,,,
1932-01,-1.58,3.93,9.03,,,,,
1932-02,5.46,-2.78,-1.46,,,,,
1932-03,-11.21,2.27,-2.32,,,,,
1932-04,-17.96,1.45,1.43,,,,,
1932-05,-20.51,3.91,-2.98,,,,,
1932-06,-0.7,0.33,5.3,,,,,
1932-07,33.84,-4.59,35.61,,,,,
1932-08,37.06,13.41,34.24,,,,,
1932-09,-2.94,-2.08,-7.36,,,,,
1932-10,-13.17,-2.56,-10.33,,,,,
1932-11,-5.88,2.0,-13.11,,,,,
1932-12,4.4,-8.64,-7.72,,,,,
1933-01,1.25,0.63,6.36,,,,,
1933-02,-15.24,-2.58,-2.95,,,,,
1933-03,3.29,3.79,7.54,,,,,
1933-04,38.85,3.07,19.65,,,,,
1933-05,21.43,36.56,19.19,,,,,
1933-06,13.11,8.42,-1.78,,,,,
1933-07,-9.63,-1.05,3.27,,,,,
1933-08,12.05,-5.39,3.0,,,,,
1933-09,-10.65,-0.4,-11.74,,,,,
1933-10,-8.36,-0.2,-8.57,,,,,
1933-11,9.97,-6.47,2.32,,,,,
1933-12,1.83,0.63,-1.56,,,,,
1934-01,12.6,12.69,15.59,,,,,
1934-02,-2.5,5.1,2.0,,,,,
1934-03,0.09,2.51,-2.7,,,,,
1934-04,-1.79,2.73,-3.73,,,,,
1934-05,-7.25,-0.29,-5.89,,,,,
1934-06,2.64,-2.23,-2.96,,,,,
1934-07,-10.96,-6.95,-10.7,,,,,
1934-08,5.58,5.37,0.09,,,,,
1934-09,-0.23,-1.52,-1.2,,,,,
1934-10,-1.66,1.24,-5.08,,,,,
1934-11,8.33,6.48,-2.15,,,,,
1934-12,0.36,3.06,-3.14,,,,,
1935-01,-3.45,1.07,-1.9,,,,,
1935-02,-1.94,0.37,-7.44,,,,,
1935-03,-3.68,-3.59,-5.12,,,,,
1935-04,9.06,-1.47,4.47,,,,,
1935-05,3.47,-3.34,2.65,,,,,
1935-06,5.93,-2.57,-1.69,,,,,
1935-07,7.51,1.88,6.93,,,,,
1935-08,2.65,6.2,6.08,,,,,
1935-09,2.63,1.53,-4.07,,,,,
1935-10,7.03,2.72,-2.37,,,,,
1935-11,4.88,4.54,12.06,,,,,
1935-12,4.56,0.17,0.95,,,,,
1936-01,6.89,5.23,10.34,,,,,
1936-02,2.49,0.95,4.51,,,,,
1936-03,0.99,0.69,-1.44,,,,,
1936-04,-8.14,-6.06,-2.15,,,,,
1936-05,5.19,0.91,2.61,,,,,
1936-06,2.4,-3.2,-1.2,,,,,
1936-07,6.67,1.0,2.4,,,,,
1936-08,0.99,0.6,3.82,,,,,
1936-09,0.98,3.08,0.9,,,,,
1936-10,7.12,-2.43,2.47,,,,,
1936-11,3.27,8.77,-1.21,,,,,
1936-12,0.21,3.96,4.3,,,,,
1937-01,3.35,4.34,2.61,,,,,
1937-02,1.09,1.05,4.83,,,,,
1937-03,-0.27,-1.69,6.5,,,,,
1937-04,-7.36,-3.83,-3.66,,,,,
1937-05,-0.83,-0.68,-3.48,,,,,
1937-06,-4.21,-3.76,-3.33,,,,,
1937-07,8.91,0.89,0.81,,,,,
1937-08,-4.86,0.44,-2.25,,,,,
1937-09,-13.61,-6.98,-4.57,,,,,
1937-10,-9.61,0.41,-1.55,,,,,
1937-11,-8.31,-3.6,0.15,,,,,
1937-12,-4.24,-7.74,-0.4,,,,,
1938-01,0.49,4.84,-1.61,,,,,
1938-02,5.84,0.4,-2.02,,,,,
1938-03,-23.82,-4.34,-3.54,,,,,
1938-04,14.51,6.46,0.23,,,,,
1938-05,-3.83,-2.51,-0.27,,,,,
1938-06,23.87,4.3,0.32,,,,,
1938-07,7.34,6.64,2.2,,,,,
1938-08,-2.67,-2.45,-4.72,,,,,
1938-09,0.81,-2.73,-1.62,,,,,
1938-10,7.8,5.81,5.03,,,,,
1938-11,-1.72,-2.57,-1.22,,,,,
1938-12,4.19,-1.82,0.53,,,,,
1939-01,-5.96,-1.55,-3.94,,,,,
1939-02,3.51,0.63,2.95,,,,,
1939-03,-11.99,-4.75,-8.31,,,,,
1939-04,-0.18,1.67,-0.3,,,,,
1939-05,6.8,2.8,0.49,,,,,
1939-06,-5.31,-1.01,-5.42,,,,,
1939-07,10.24,4.32,-0.03,,,,,
1939-08,-6.68,-4.61,-2.42,,,,,
1939-09,16.88,20.24,22.22,,,,,
1939-10,-0.53,-0.01,-4.89,,,,,
1939-11,-3.62,-5.07,-6.46,,,,,
1939-12,3.03,0.79,-4.06,,,,,
1940-01,-2.41,0.21,-0.81,,,,,
1940-02,1.44,2.51,-0.33,,,,,
1940-03,2.05,1.25,-1.27,,,,,
1940-04,0.22,3.92,-0.13,,,,,
1940-05,-21.95,-6.66,-3.69,,,,,
1940-06,6.67,-2.13,4.62,,,,,
1940-07,3.16,1.01,-0.74,,,,,
1940-08,2.19,-0.11,0.56,,,,,
1940-09,2.39,3.22,-1.13,,,,,
1940-10,3.02,0.28,4.64,,,,,
1940-11,-1.61,1.94,0.12,,,,,
1940-12,0.69,-2.15,-0.89,,,,,
1941-01,-4.17,1.0,3.83,,,,,
1941-02,-1.43,-1.56,0.89,,,,,
1941-03,0.84,0.1,3.04,,,,,
1941-04,-5.46,-1.68,3.41,,,,,
1941-05,1.39,-0.65,0.6,,,,,
1941-06,5.83,1.32,0.59,,,,,
1941-07,5.87,5.71,7.25,,,,,
1941-08,-0.17,-0.42,-1.1,,,,,
1941-09,-0.87,-0.99,-0.28,,,,,
1941-10,-5.25,-2.02,1.63,,,,,
1941-11,-1.92,-1.21,-0.64,,,,,
1941-12,-4.87,-2.99,-5.94,,,,,
1942-01,0.79,7.53,10.1,,,,,
1942-02,-2.46,1.72,-1.13,,,,,
1942-03,-6.58,1.77,-0.62,,,,,
1942-04,-4.37,-0.6,2.09,,,,,
1942-05,5.94,-3.05,-2.65,,,,,
1942-06,2.69,-1.22,0.54,,,,,
1942-07,3.51,-0.15,2.4,,,,,
1942-08,1.8,-0.09,1.35,,,,,
